,exp_risk,exp_return,esg_score
CVS,0.2470435068570636,0.0724311956142148,0.22899999999999998
CTSH,0.29643968640127233,0.020160684934748013,0.14400000000000002
CTRA,0.4215516945660585,-0.2658427031469956,0.46
CTAS,0.24084302685847214,-0.1350719336119307,0.183
CSGP,0.3625772748635196,-0.04240455785918215,0.26899999999999996
CSCO,0.2520000477049553,-0.012886718488622597,0.121
CRM,0.4020808184584064,0.07485763758393307,0.132
CPRT,0.2881150343288671,-0.15779033761686423,0.18
CPB,0.2225691085428065,-0.030097515533176553,0.235
COST,0.26612966319263803,-0.15534667649522707,0.242
COP,0.3817677800902299,-0.3078284139115795,0.349
COO,0.29245389946826605,0.02090564623260429,0.195
COF,0.38573400667495583,0.1526136675109822,0.226
CNP,0.21381325776965981,-0.1039219805579783,0.256
CNC,0.3037527452360161,0.04264761584544803,0.20600000000000002
CMS,0.20957005347045715,-0.023813866769634234,0.213
CMI,0.2621813597476354,-0.02280843083471584,0.19399999999999998
CMG,0.3444351552849356,-0.15486357492360006,0.23600000000000002
CME,0.22109931421391443,0.03356237186536533,0.146
CMCSA,0.2762750076172884,0.13462211731986015,0.248
CMA,0.4993914531707819,0.21257609456990403,0.26
CLX,0.285736761970674,0.03549304790468498,0.21100000000000002
CL,0.18498370677956974,0.006384852721143531,0.221
CINF,0.30397927183537027,0.0692556227345377,0.256
BIO,0.37576464360246786,0.2713684117606141,0.16899999999999998
CVX,0.2841300312389078,-0.24031879420196128,0.376
BIIB,0.3767928591782674,0.10283347479960883,0.21
BF-B,0.2245796279215959,0.043307540513349375,0.22
ALLE,0.2865552813301668,0.06385083740647216,0.237
ALL,0.2733906069079231,0.062274832011823746,0.192
ALB,0.4999509334153084,-0.1384087512106907,0.28800000000000003
AKAM,0.2766072335453271,0.13452397920367185,0.165
AJG,0.22934007059146513,-0.2262165912703318,0.213
AIZ,0.27046622931802006,0.09523212518770982,0.245
AIG,0.3180732657625188,-0.1160964188164067,0.253
AFL,0.22586341434250676,-0.15193673374941474,0.17300000000000001
AES,0.3110710128423416,0.09556331475393719,0.342
AEP,0.2097291192517729,-0.027004927212752206,0.258
AMAT,0.4395901811685134,-0.015236697269962192,0.11599999999999999
AEE,0.2039771561598228,-0.03301100303090869,0.295
ADP,0.2404535266623925,-0.06289939948454602,0.14
ADM,0.2706520210923074,-0.12538341487570048,0.364
ADI,0.3160047848195326,-0.06630114648003176,0.23800000000000002
ADBE,0.4021905418431001,0.09592853222325394,0.125
ACN,0.2864683719706389,-0.036264959403611324,0.09699999999999999
ACGL,0.26138105024195674,-0.3156768530446395,0.20800000000000002
ABT,0.23128022785496422,0.020185745392645137,0.25
ABC,0.21254851641782518,-0.26857780660703984,0.121
ABBV,0.216118749498928,-0.12442203939814332,0.278
AAPL,0.29656699254559377,-0.1690835428697065,0.16699999999999998
AAP,0.4496129818746798,0.5240532534954769,0.115
AAL,0.49969103460501973,0.09365856180613605,0.29100000000000004
ADSK,0.4251264139071946,0.17452341262753182,0.16
AME,0.2206204834915837,-0.09796659441968705,0.24100000000000002
BDX,0.21166496356432457,-0.06099701004706545,0.267
BBY,0.38923830944011145,0.12165939754875667,0.141
BBWI,0.5063934085124021,0.19905368883885366,0.155
BAX,0.2978458162425844,0.2757507445241835,0.237
BALL,0.36156679381111845,0.1583941578353769,0.10800000000000001
BAC,0.29497602654382965,0.15879042416986305,0.271
BA,0.3990621362450182,0.06175497058945248,0.34700000000000003
AZO,0.2627607464839243,-0.2500044394243803,0.11
AXP,0.3271037701854919,-0.03300823854221371,0.184
AWK,0.2366938763255861,0.0299297592668672,0.21899999999999997
AVY,0.28875068458221875,0.09687546452476538,0.154
AVGO,0.32926547720866256,-0.32657291990957077,0.22399999999999998
ATVI,0.29308157811077007,0.06664813267084128,0.18899999999999997
ATO,0.21554037648423968,-0.11866130417396198,0.348
APTV,0.42651910170662016,0.22304244583076838,0.115
APH,0.24986308171554186,-0.11026539191551687,0.214
APD,0.24871263518959444,-0.033442397672749244,0.10800000000000001
APA,0.5438231077409373,-0.2419177925984568,0.38799999999999996
AOS,0.30462146775841004,-0.020371971519287758,0.254
ANSS,0.3499663270107861,0.03134787745297379,0.131
ANET,0.42260950400270386,-0.28338482649266383,0.16399999999999998
AMZN,0.4160934557665456,0.14873634423637405,0.303
AMT,0.27476669201376447,0.14384887395885734,0.109
AMP,0.3197668780824697,-0.16072323098306784,0.226
AMGN,0.20553382381025023,0.016031379668600805,0.22
BG,0.3172875819439572,-0.11027775066385923,0.341
D,0.22170938006173954,0.1366906795727307,0.254
DAL,0.41637898682669866,-0.034200500482539295,0.261
HLT,0.324754350915193,-0.0914138314250117,0.174
HIG,0.2455341383328752,-0.09315031919325639,0.162
HES,0.41973419233837,-0.2274904795556661,0.36
HD,0.2722698555370647,-0.006578044776188137,0.125
HCA,0.3524911313998727,-0.19698614117102423,0.282
HBAN,0.3535493402546838,0.0934872422777481,0.204
HAS,0.3280927256508168,0.1606108360474807,0.071
HAL,0.4692252224040995,-0.19526923940593244,0.23800000000000002
GWW,0.27196242655510133,-0.30399141538698127,0.146
GS,0.2730048138238611,0.05528489679661058,0.262
GRMN,0.27473393210145075,0.14094314153550186,0.185
HOLX,0.23966303840534436,-0.09156157554890205,0.282
GPN,0.3832496912898287,0.32268053191676405,0.19
GOOGL,0.3379633621315991,0.012444845448743653,0.24100000000000002
GM,0.4053516344171427,0.21483714947728996,0.309
GLW,0.28047756913393485,0.05241418913261531,0.19399999999999998
GL,0.23833094201940674,-0.0756381895291874,0.203
GIS,0.20786728946785896,-0.14211108828042054,0.215
GILD,0.21833648741262351,-0.09167836734667614,0.221
GEN,0.3197201194712326,0.17372571564114894,0.15
GE,0.3154949764379302,-0.1280452174933462,0.40700000000000003
GD,0.2055662699858672,-0.08797301617689206,0.349
FTV,0.25927185048039386,-0.030878488885047878,0.348
GPC,0.23073540114491567,-0.161594191604127,0.126
HON,0.22196824414978145,0.01065835137850095,0.293
HPE,0.3197924098141898,-0.0986729006183714,0.11900000000000001
HPQ,0.3620735614130061,-0.03354605784400824,0.109
JKHY,0.2633289596334978,-0.02055710262316977,0.154
JCI,0.287327937371926,-0.012804271500741767,0.147
JBHT,0.3078000116990479,-0.06526666140874064,0.139
J,0.2611450166154601,0.053002950848724174,0.22399999999999998
IT,0.31795869741466215,-0.17400281015746966,0.218
ISRG,0.36727677275796344,-0.049759728126647855,0.237
IRM,0.29735120805915366,-0.19043160703689613,0.147
IQV,0.31298536108256375,0.04527860439288899,0.191
IPG,0.30915345832263974,-0.11385686590502142,0.10400000000000001
IP,0.2772294204237566,0.26011107088156693,0.237
INTU,0.4087073429380171,0.030289182958731477,0.162
INTC,0.36423911289128375,0.23369929918678833,0.17300000000000001
INCY,0.2684377487327656,0.15443840820018256,0.24100000000000002
ILMN,0.48539514437825154,0.47013473637528236,0.109
IFF,0.3292422889881353,0.29690903754827186,0.223
IEX,0.2395958768094441,0.0037558671734254953,0.268
IDXX,0.3637156949308515,0.12281244458497889,0.195
ICE,0.23781494762553176,0.014038310576088103,0.163
IBM,0.21690232383444535,-0.02734863435322247,0.14800000000000002
HSY,0.18648854508205867,-0.19696262801986267,0.27399999999999997
HST,0.35556584351196885,-0.008477211399552828,0.139
HSIC,0.24551516201169146,-0.043464698872190906,0.134
HRL,0.199432557252111,0.06810832232008905,0.299
FTNT,0.46548045378791486,-0.22843477370456058,0.191
FRT,0.26992679417473064,0.0572572425479555,0.124
ELV,0.2690239552646882,-0.08273608208771352,0.115
EL,0.37379453153487824,0.24229841942929872,0.259
EIX,0.24139263500542152,-0.129884754040032,0.27399999999999997
EFX,0.33367306427768273,0.0035329524858852515,0.258
ED,0.19661173636318968,-0.1474939091088248,0.231
ECL,0.28838550633307086,0.044738008505439346,0.24100000000000002
EBAY,0.34079762582660095,0.210241127124766,0.171
EA,0.2498189384903502,0.043295025260756854,0.10400000000000001
DXCM,0.46498021472262974,-0.09089658623687913,0.237
DXC,0.4491196754910577,0.19834618214957161,0.161
DVN,0.4947578094118296,-0.3271089743132796,0.36700000000000005
DVA,0.4011223932335276,0.09922748631183193,0.226
DUK,0.19290532191388282,0.013681060061513704,0.276
DTE,0.19784215280931106,-0.025777136558491037,0.301
DRI,0.30043306988938623,-0.09563198667467684,0.28
DPZ,0.32418355418523,0.1608310621907954,0.31
DOV,0.2620574025838704,0.006439136888512785,0.253
DLTR,0.39313927933061665,-0.18420278952953573,0.149
DLR,0.31893370934279003,0.10981714460049574,0.126
DIS,0.32450067380444925,0.34190776019053337,0.149
DHR,0.2903010036521849,0.05762767243988889,0.11699999999999999
DHI,0.36408198910365114,-0.15426879208741595,0.217
DGX,0.2235155417076019,-0.05277512238810373,0.21
DG,0.3099659117906808,0.12186900600876228,0.174
DFS,0.3644066733735131,-0.019194571366389208,0.226
DD,0.30131484958223403,0.0253716176069607,0.29
EMN,0.3265798546837557,0.13887263416046608,0.24600000000000002
JNPR,0.26997873328605754,-0.08816761622314769,0.166
EMR,0.2550135251929739,0.015154450471602682,0.295
EOG,0.40506644591859725,-0.22301173994207438,0.363
FLT,0.32103620336551136,0.01595402534110568,0.18100000000000002
FIS,0.4299349128991593,0.4710276510494871,0.18100000000000002
FFIV,0.315123801380675,0.12412191395822161,0.192
FE,0.21334243088112467,-0.05802532225719066,0.295
FDX,0.36354198453420444,0.06984598377864451,0.205
FDS,0.25335206305425584,-0.0910449700121783,0.204
FCX,0.4793832987348352,-0.043742737065240074,0.319
FAST,0.2530237428872637,-0.08337757316695496,0.264
F,0.4409478617897007,-0.05857733905489992,0.3
EXR,0.29896124814177094,0.016709175066255928,0.141
EXPE,0.47119894235930576,0.20955556855233537,0.257
EXPD,0.2845578531739479,0.014951804609402352,0.158
EXC,0.22163259805866156,-0.15159268627854736,0.244
EW,0.3431829560180028,0.05935644214075601,0.193
ETR,0.23072251144652192,-0.017329188355933427,0.29600000000000004
ETN,0.26614788797926003,-0.16810536448844043,0.179
ES,0.22060068800990665,0.03966422078838092,0.187
EQT,0.5286228552285008,-0.31992039078274553,0.366
EQR,0.24481331169571185,0.04576352933606752,0.11199999999999999
EQIX,0.3088748635133401,-0.0013031929930267855,0.11800000000000001
ZTS,0.2750175162731589,0.033473578653503824,0.185
