,exp_risk,exp_return,esg_score
T,0.27970752022675316,0.05050209548667423,0.2207
SYY,0.25241982883019987,0.06505037712127677,0.1206
SYK,0.2815971995385432,0.007139055683753651,0.2852
SYF,0.3891375832985078,0.24259014858174172,0.1722
SWKS,0.38118947331465347,0.3063066618803957,0.2776
SWK,0.3907544097751857,0.38950171691127966,0.2593
TGT,0.3891271117431505,0.40320323405638836,0.1472
STZ,0.22056722248340108,-0.038789579837116735,0.2579
STT,0.3647326800282388,0.18298737126616255,0.2227
STLD,0.4230835561223289,-0.25228327680494134,0.3239
SRE,0.21849826011839124,-0.10664732597533899,0.24719999999999998
SPGI,0.26594052027633114,0.13484165771810228,0.1431
SPG,0.29974824314669285,0.1117275617909953,0.1421
SO,0.20717516029823793,-0.07657045491033618,0.3309
SNPS,0.3610305164916328,-0.16083347522910713,0.13449999999999998
SNA,0.24521763644604447,-0.13393145430208125,0.30829999999999996
SLB,0.43014245877767193,-0.2781445047632947,0.2193
SJM,0.22035876182597025,0.016394697351890752,0.3097
SHW,0.30736611913438433,0.12476110105362663,0.2863
SEE,0.3338427297258547,0.31187709218663,0.2057
STX,0.3978973445403859,0.12694755288453188,0.1066
IVZ,0.3771158312351862,0.3236687646988919,0.20329999999999998
ITW,0.23608683989064447,-0.013298313890306066,0.196
IT,0.3080965860798538,-0.0015814424391208325,0.21780000000000002
CFG,0.371677616356505,0.3167109895955988,0.2346
CF,0.4251835753309029,-0.1859252858415148,0.3003
CE,0.36202242503535925,0.14395516873673084,0.2927
CDW,0.28830523967707333,-0.04018660894704248,0.09230000000000001
CDNS,0.35901745714748473,-0.14233971059175302,0.1219
CCL,0.66758177456184,0.35732224416343195,0.2369
CCI,0.2848036955105875,0.3025077172499697,0.132
CBRE,0.3145967228169296,0.2125056608909049,0.0684
CBOE,0.22080015991818971,-0.10293185185724263,0.2095
CB,0.2226259140653416,-0.0686615994940211,0.23850000000000002
CAT,0.3067179489113144,-0.10572410973651016,0.3418
CAH,0.23802991336399376,-0.35476649420452055,0.12279999999999999
CAG,0.2205395223315163,0.04731104771752483,0.3173
C,0.292474483383059,0.252000246847771,0.2668
BXP,0.34395802307013335,0.32921396249765317,0.1251
BX,0.45611121857464765,0.1654069798331041,0.23629999999999998
BWA,0.3372659962520649,0.017826562257487286,0.1278
BSX,0.24576075846527265,-0.07629448354542442,0.2633
BRO,0.27261294094136646,-0.05803487383504976,0.2143
BRK-B,0.1881411644682429,-0.08118372527350622,0.1602
BR,0.25999890240809415,0.004754054901433857,0.16210000000000002
BMY,0.19318481365946802,0.0185675772634325,0.22829999999999998
BLK,0.2988509989466913,0.19127622195554375,0.2057
BKNG,0.3680803358390675,-0.048875368718910996,0.22329999999999997
CHD,0.2205045540919023,-0.037694041101533085,0.1979
BK,0.2851249918858737,0.1449993296105364,0.2148
CHRW,0.30259224077938107,0.05982771215057514,0.2007
CI,0.2581664461080468,-0.1902385773455306,0.1165
CTRA,0.39966506983555444,-0.2017384515049518,0.46020000000000005
CTAS,0.23989776245062314,-0.08420166352005107,0.1825
CSX,0.2494593083395289,0.08165984042192381,0.2009
CSGP,0.3651759540376338,0.09277454083847776,0.26940000000000003
CSCO,0.25416229245754934,0.013626653832491356,0.1207
CRM,0.4033980160668783,0.21894764365633887,0.1318
